Id_zone,Type_zone,Libelle_zone,value,label
01|85004,Commune,Angles (85),288,Commune - Angles (85)
01|49008,Commune,Angrie,289,Commune - Angrie
01|85005,Commune,Antigny (85),290,Commune - Antigny (85)
01|49009,Commune,Antoigné,291,Commune - Antoigné
01|85006,Commune,Apremont (85),292,Commune - Apremont (85)
01|72007,Commune,Ardenay-sur-Mérize,293,Commune - Ardenay-sur-Mérize
01|53007,Commune,Argentré,294,Commune - Argentré
01|49010,Commune,Armaillé,295,Commune - Armaillé
01|72008,Commune,Arnage,296,Commune - Arnage
01|53008,Commune,Aron,297,Commune - Aron
01|53009,Commune,Arquenay,298,Commune - Arquenay
01|49011,Commune,Artannes-sur-Thouet,299,Commune - Artannes-sur-Thouet
01|72009,Commune,Arthezé,300,Commune - Arthezé
01|72006,Commune,Arçonnay,301,Commune - Arçonnay
01|72010,Commune,Asnières-sur-Vègre,302,Commune - Asnières-sur-Vègre
01|72011,Commune,Assé-le-Boisne,303,Commune - Assé-le-Boisne
01|53010,Commune,Assé-le-Bérenger,304,Commune - Assé-le-Bérenger
01|72012,Commune,Assé-le-Riboul,305,Commune - Assé-le-Riboul
01|44006,Commune,Assérac,306,Commune - Assérac
01|53011,Commune,Astillé,307,Commune - Astillé
01|53012,Commune,Athée (53),308,Commune - Athée (53)
01|85008,Commune,Aubigny-Les Clouzeaux,309,Commune - Aubigny-Les Clouzeaux
01|72013,Commune,Aubigné-Racan,310,Commune - Aubigné-Racan
01|49012,Commune,Aubigné-sur-Layon,311,Commune - Aubigné-sur-Layon
01|85009,Commune,Auchay-sur-Vendée,312,Commune - Auchay-sur-Vendée
01|72016,Commune,Auvers-le-Hamon,313,Commune - Auvers-le-Hamon
01|72017,Commune,Auvers-sous-Montfaucon,314,Commune - Auvers-sous-Montfaucon
01|53013,Commune,Averton,315,Commune - Averton
01|72018,Commune,Avesnes-en-Saosnois,316,Commune - Avesnes-en-Saosnois
01|44007,Commune,Avessac,317,Commune - Avessac
01|72019,Commune,Avessé,318,Commune - Avessé
01|72020,Commune,Avezé,319,Commune - Avezé
01|72021,Commune,Avoise,320,Commune - Avoise
01|49015,Commune,Avrillé (49),321,Commune - Avrillé (49)
01|85010,Commune,Avrillé (85),322,Commune - Avrillé (85)
01|53016,Commune,Bais (53),323,Commune - Bais (53)
01|72023,Commune,Ballon-Saint Mars,324,Commune - Ballon-Saint Mars
01|53018,Commune,Ballots,325,Commune - Ballots
01|53019,Commune,Bannes (53),326,Commune - Bannes (53)
01|49017,Commune,Baracé,327,Commune - Baracé
01|85011,Commune,Barbâtre,328,Commune - Barbâtre
01|44009,Commune,Basse-Goulaine,329,Commune - Basse-Goulaine
01|44010,Commune,Batz-sur-Mer,330,Commune - Batz-sur-Mer
01|49018,Commune,Baugé-en-Anjou,331,Commune - Baugé-en-Anjou
01|85013,Commune,Bazoges-en-Paillers,332,Commune - Bazoges-en-Paillers
